date,time,open,high,low,close
2022.01.19,08:00,1.13341,1.13571,1.13341,1.1345
2022.01.19,12:00,1.13451,1.13546,1.13401,1.13455
2022.01.19,16:00,1.13454,1.13519,1.13397,1.1351
2022.01.19,20:00,1.13508,1.13651,1.13483,1.13505
2022.01.20,00:00,1.13506,1.13688,1.13455,1.13548
2022.01.20,04:00,1.13545,1.13567,1.13311,1.13388
2022.01.20,08:00,1.13387,1.13578,1.13285,1.13353
2022.01.20,12:00,1.13353,1.13415,1.13031,1.13038
2022.01.20,16:00,1.13039,1.1317,1.13021,1.13037
2022.01.20,20:00,1.13037,1.1335,1.13009,1.13243
2022.01.21,00:00,1.13243,1.134,1.13223,1.13356
2022.01.21,04:00,1.13356,1.13452,1.13255,1.13381
2022.01.21,08:00,1.13377,1.13596,1.13369,1.13455
2022.01.21,12:00,1.13454,1.13498,1.13381,1.13411
2022.01.21,16:00,1.13412,1.13453,1.1339,1.13418
2022.01.23,16:00,1.13396,1.1345,1.13325,1.13385
2022.01.23,20:00,1.13386,1.13394,1.13274,1.13296
2022.01.24,00:00,1.13297,1.13322,1.13093,1.13214
2022.01.24,04:00,1.13214,1.13363,1.12967,1.12974
2022.01.24,08:00,1.12975,1.13246,1.12904,1.13106
2022.01.24,12:00,1.13104,1.1335,1.13093,1.13205
2022.01.24,16:00,1.13204,1.13289,1.13172,1.13198
2022.01.24,20:00,1.13198,1.13234,1.13089,1.13117
2022.01.25,00:00,1.13118,1.13156,1.12918,1.12975
2022.01.25,04:00,1.12976,1.13003,1.12664,1.12677
2022.01.25,08:00,1.12678,1.12869,1.12631,1.12842
2022.01.25,12:00,1.12842,1.13069,1.1282,1.13042
2022.01.25,16:00,1.13043,1.13058,1.12942,1.13031
2022.01.25,20:00,1.13033,1.13107,1.13006,1.13016
2022.01.26,00:00,1.13016,1.13052,1.12842,1.1288
2022.01.26,04:00,1.12879,1.12914,1.12751,1.12762
2022.01.26,08:00,1.12765,1.12963,1.12715,1.12789
2022.01.26,12:00,1.12788,1.13006,1.12354,1.12401
2022.01.26,16:00,1.12403,1.1244,1.1232,1.12338
2022.01.26,20:00,1.12339,1.12344,1.12185,1.12222
2022.01.27,00:00,1.12221,1.12221,1.11931,1.1201
2022.01.27,04:00,1.12013,1.12037,1.11521,1.11573
2022.01.27,08:00,1.11572,1.11621,1.11312,1.11423
2022.01.27,12:00,1.11425,1.11514,1.11357,1.11426
2022.01.27,16:00,1.11426,1.11473,1.11379,1.11468
2022.01.27,20:00,1.11465,1.11558,1.1143,1.1152
2022.01.28,00:00,1.11519,1.11549,1.11213,1.1136
2022.01.28,04:00,1.11361,1.11437,1.11253,1.11268
2022.01.28,08:00,1.11268,1.11735,1.11268,1.11605
2022.01.28,12:00,1.11605,1.11633,1.1141,1.11502
