date,time,open,high,low,close
2022.01.21,04:00,154.682,154.693,154.228,154.374
2022.01.21,08:00,154.372,154.475,153.905,154.234
2022.01.21,12:00,154.235,154.236,153.958,154.019
2022.01.21,16:00,154.021,154.111,154.009,154.036
2022.01.23,16:00,153.996,154.317,153.925,154.291
2022.01.23,20:00,154.291,154.484,154.264,154.419
2022.01.24,00:00,154.42,154.459,153.737,153.752
2022.01.24,04:00,153.752,153.768,153.313,153.441
2022.01.24,08:00,153.441,153.66,152.954,153.057
2022.01.24,12:00,153.057,153.745,152.899,153.716
2022.01.24,16:00,153.716,153.876,153.593,153.643
2022.01.24,20:00,153.645,153.645,153.127,153.217
2022.01.25,00:00,153.216,153.706,153.135,153.571
2022.01.25,04:00,153.573,153.9,153.114,153.449
2022.01.25,08:00,153.445,153.767,153.172,153.673
2022.01.25,12:00,153.673,154.011,153.577,153.855
2022.01.25,16:00,153.856,153.911,153.693,153.769
2022.01.25,20:00,153.771,153.977,153.668,153.902
2022.01.26,00:00,153.899,154.215,153.783,154.048
2022.01.26,04:00,154.046,154.367,153.958,154.324
2022.01.26,08:00,154.322,154.566,154.218,154.526
2022.01.26,12:00,154.526,154.733,153.883,154.255
2022.01.26,16:00,154.256,154.537,154.206,154.241
2022.01.26,20:00,154.242,154.267,153.877,154.021
2022.01.27,00:00,154.019,154.386,153.817,154.352
2022.01.27,04:00,154.352,154.679,154.125,154.419
2022.01.27,08:00,154.418,154.716,154.137,154.561
2022.01.27,12:00,154.561,154.562,154.032,154.348
2022.01.27,16:00,154.347,154.648,154.202,154.626
2022.01.27,20:00,154.621,154.771,154.526,154.735
2022.01.28,00:00,154.733,154.947,154.466,154.503
2022.01.28,04:00,154.502,154.855,154.338,154.69
2022.01.28,08:00,154.69,154.953,154.388,154.571
2022.01.28,12:00,154.572,154.602,154.086,154.38
2022.01.28,16:00,154.381,154.409,154.287,154.351
2022.01.30,16:00,154.411,154.74,154.368,154.704
2022.01.30,20:00,154.702,155.016,154.692,154.912
2022.01.31,00:00,154.911,155.209,154.844,155.104
2022.01.31,04:00,155.096,155.327,154.648,154.917
2022.01.31,08:00,154.915,155.235,154.439,154.869
2022.01.31,12:00,154.869,154.869,154.587,154.767
2022.01.31,16:00,154.767,154.834,154.505,154.723
2022.01.31,20:00,154.721,154.808,154.483,154.593
2022.02.01,00:00,154.594,155.026,154.582,154.891
2022.02.01,04:00,154.888,154.919,154.545,154.588
2022.02.01,08:00,154.588,155.201,154.531,154.997
2022.02.01,12:00,154.995,155.202,154.755,155.08
2022.02.01,16:00,155.08,155.217,154.909,155.099
2022.02.01,20:00,155.097,155.198,155.041,155.155
2022.02.02,00:00,155.154,155.21,154.976,155.007
2022.02.02,04:00,155.009,155.153,154.805,155.135
2022.02.02,08:00,155.134,155.297,154.841,155.168
2022.02.02,12:00,155.167,155.434,155.109,155.325
2022.02.02,16:00,155.327,155.36,155.077,155.185
2022.02.02,20:00,155.186,155.289,155.041,155.189
2022.02.03,00:00,155.188,155.504,155.148,155.468
2022.02.03,04:00,155.467,156.487,155.365,155.926
2022.02.03,08:00,155.924,156.498,155.732,156.252
2022.02.03,12:00,156.25,156.381,156.061,156.218
2022.02.03,16:00,156.22,156.501,156.177,156.434
2022.02.03,20:00,156.434,156.492,156.181,156.289
2022.02.04,00:00,156.289,156.445,156.093,156.186
2022.02.04,04:00,156.187,156.243,155.72,155.795
2022.02.04,08:00,155.796,156.154,155.557,156.037
2022.02.04,12:00,156.036,156.091,155.843,155.862
2022.02.04,16:00,155.863,155.875,155.786,155.82
